Player,Country,Position,Team,Age,Matches_Played,Minutes,Goals,Assists,Shots_on_Target,Yellow_Cards,Red_Cards
Amaury Morales,mx MEX,"CC,DL",Cruz Azul,18.0,10.0,191.0,1.0,0.0,0.0,1.0,0.0
Robert Morales,py PAR,DL,Toluca,25.0,3.0,90.0,0.0,0.0,0.0,0.0,0.0
Carlos Moreno,mx MEX,PO,Pachuca,26.0,15.0,1350.0,0.0,0.0,0.0,3.0,0.0
Héctor Moreno,mx MEX,DF,Monterrey,36.0,13.0,929.0,0.0,0.0,0.0,2.0,0.0
Iker Moreno,mx MEX,DF,Atlético,21.0,7.0,174.0,0.0,0.0,0.0,0.0,0.0
Iván Moreno,mx MEX,"DF,CC",León,26.0,7.0,502.0,2.0,1.0,0.0,2.0,0.0
Omar Moreno,mx MEX,CC,Mazatlán,19.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0
Alan Mozo,mx MEX,DF,Guadalajara,27.0,17.0,1444.0,2.0,1.0,0.0,1.0,0.0
Guillermo Muñoz,mx MEX,CC,Santos,20.0,3.0,53.0,0.0,0.0,0.0,0.0,0.0
Santiago Muñóz,mx MEX,"DL,CC",Santos,22.0,15.0,649.0,2.0,0.0,0.0,0.0,0.0
Jhon Murillo,ve VEN,"DL,DF",Atlas,29.0,17.0,1261.0,2.0,2.0,0.0,1.0,0.0
Luis Nájera,mx MEX,"CC,DL",Atlético,21.0,15.0,910.0,2.5,2.5,0.0,0.0,0.0
Gonzalo Nápoli,uy URU,"CC,DL",León,24.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0
Luis Navarrete,mx MEX,CC,Toluca,18.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Santiago Naveda,mx MEX,CC,Santos,23.0,11.0,835.0,0.0,1.0,0.0,2.0,0.0
Hugo Nervo,ar ARG,DF,Atlas,33.0,17.0,1530.0,0.0,0.0,0.0,1.0,0.0
Santiago Núñez,ar ARG,DF,Santos,24.0,9.0,701.0,0.0,0.0,0.0,3.0,0.0
Lucas Ocampos,ar ARG,"DL,CC",Monterrey,30.0,10.0,736.0,1.0,2.5,0.0,0.0,0.0
Agustín Oliveros,uy URU,DF,Necaxa,26.0,17.0,1530.0,0.0,1.0,0.0,1.0,0.0
Sebastián Olmedo,py PAR,DF,Puebla,23.0,7.0,461.0,0.0,0.0,0.0,3.0,0.0
Santiago Ormeño,pe PER,DL,Puebla,30.0,9.0,482.0,2.0,1.0,0.0,0.0,0.0
Efraín Orona,mx MEX,DF,Puebla,25.0,17.0,1311.0,0.0,0.0,0.0,1.0,0.0
Jesús Orozco,mx MEX,DF,Guadalajara,22.0,15.0,1269.0,0.0,0.0,0.0,3.0,0.0
Ralph Orquin,us USA,DF,FC Juárez,21.0,17.0,1406.0,0.0,2.5,0.0,2.0,0.0
Carlos Orrantía,mx MEX,DF,Toluca,33.0,4.0,192.0,0.0,0.0,0.0,0.0,0.0
Haret Ortega,mx MEX,"DF,CC",FC Juárez,24.0,9.0,625.0,1.0,0.0,0.0,4.0,0.0
Kevin Ortega,mx MEX,CC,Atlético,22.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0
Pablo Ortiz,mx MEX,DF,Querétaro,22.0,9.0,469.0,0.0,1.0,0.0,2.0,0.0
Youssef Ortiz,mx MEX,DF,León,18.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Juan Pablo Vigón,mx MEX,CC,UANL,33.0,11.0,246.0,0.0,0.0,0.0,0.0,0.0
Jose Pachuca,mx MEX,DF,Puebla,19.0,11.0,506.0,0.0,0.0,0.0,0.0,0.0
Jonathan Padilla,mx MEX,"CC,DL",Guadalajara,18.0,9.0,370.0,2.0,2.0,0.0,0.0,0.0
Agustín Palavecino,ar ARG,CC,Necaxa,28.0,17.0,1465.0,2.5,2.0,0.0,3.0,0.0
José Paradela,ar ARG,CC,Necaxa,25.0,17.0,1375.0,2.5,2.5,0.0,3.0,0.0
Paulinho,pt POR,DL,Toluca,32.0,17.0,1431.0,2.5,2.5,0.0,2.0,0.0
Pedro Pedraza,mx MEX,CC,Pachuca,24.0,15.0,885.0,0.0,0.0,0.0,5.0,0.0
Federico Pereira,uy URU,DF,Toluca,24.0,10.0,900.0,1.0,0.0,0.0,2.0,0.0
Aldahir Perez,mx MEX,CC,Querétaro,20.0,3.0,92.0,0.0,0.0,0.0,0.0,0.0
Sebastián Pérez Bouquet,mx MEX,"CC,DL",FC Juárez,21.0,3.0,33.0,0.0,1.0,0.0,0.0,0.0
Jonathan Pérez,mx MEX,DF,Santos,19.0,10.0,714.0,1.0,0.0,0.0,3.0,0.0
Pavel Pérez,mx MEX,"CC,DL",Guadalajara,26.0,6.0,144.0,0.0,0.0,0.0,0.0,0.0
Jonathan Perlaza,ec ECU,DF,Querétaro,27.0,4.0,202.0,0.0,0.0,0.0,0.0,0.0
Yan Phillipe,br BRA,"DL,CC",Atlético,20.0,13.0,503.0,2.0,0.0,0.0,1.0,0.0
Cristiano Piccini,it ITA,DF,Atlético,32.0,2.0,127.0,0.0,0.0,0.0,0.0,0.0
Jesús Piñuelas,mx MEX,CC,Toluca,26.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gonzalo Piovi,ar ARG,DF,Cruz Azul,30.0,15.0,1287.0,0.0,2.5,0.0,5.0,0.0
Guido Pizarro,ar ARG,"DF,CC",UANL,34.0,16.0,1440.0,1.0,0.0,0.0,3.0,0.0
Rodolfo Pizarro,mx MEX,"CC,DL",Mazatlán,30.0,7.0,395.0,0.0,0.0,0.0,0.0,0.0
Osvaldo Rodríguez del Portal,mx MEX,"DF,DL",UANL,28.0,3.0,127.0,0.0,0.0,0.0,1.0,0.0
Osvaldo Rodríguez del Portal,mx MEX,"DL,DF",León,28.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0
Ayrton Preciado,ec ECU,"CC,DF",Querétaro,30.0,5.0,132.0,1.0,0.0,0.0,2.0,0.0
Ronaldo Prieto,mx MEX,DF,Santos,27.0,1.0,70.0,0.0,0.0,0.0,1.0,0.0
Luis Puente,mx MEX,DL,Pachuca,21.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0
Ignacio Pussetto,ar ARG,"CC,DL",UNAM,28.0,12.0,537.0,2.0,1.0,0.0,0.0,0.0
Piero Quispe,pe PER,CC,UNAM,23.0,15.0,1115.0,2.0,1.0,0.0,2.0,0.0
Héctor Ramírez,mx MEX,DF,UNAM,20.0,2.0,114.0,0.0,1.0,0.0,0.0,0.0
Miguel Ramírez,us USA,DL,América,22.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0
Paulo Ramírez,mx MEX,CC,Atlas,22.0,5.0,189.0,0.0,0.0,0.0,0.0,0.0
José Rangel Aguilar,mx MEX,PO,Guadalajara,24.0,17.0,1530.0,0.0,0.0,0.0,2.0,0.0
Luis Rey,mx MEX,DF,Guadalajara,22.0,6.0,342.0,0.0,0.0,0.0,1.0,0.0
Cristian Reyes,mx MEX,"CC,DL",Monterrey,18.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0
Diego Reyes,mx MEX,CC,América,17.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0
Diego Reyes,mx MEX,DF,UANL,32.0,14.0,889.0,0.0,0.0,0.0,2.0,0.0
Israel Reyes,mx MEX,DF,América,24.0,13.0,955.0,1.0,0.0,0.0,2.0,0.0
Salvador Reyes,mx MEX,DF,León,26.0,17.0,1495.0,0.0,1.0,0.0,2.0,0.0
Emanuel Reynoso,ar ARG,"CC,DL",Tijuana,29.0,14.0,821.0,1.0,2.5,0.0,3.0,0.0
Luis Ricardo Reyes,mx MEX,DF,Atlas,33.0,17.0,1374.0,1.0,1.0,0.0,2.0,0.0
Ángel Rico,mx MEX,CC,UNAM,19.0,12.0,578.0,1.0,0.0,0.0,1.0,0.0
Martín Río,ar ARG,"CC,DF",Querétaro,23.0,11.0,659.0,0.0,0.0,0.0,2.0,0.0
Víctor Ríos,mx MEX,CC,Atlas,20.0,11.0,474.0,1.0,0.0,0.0,1.0,0.0
Jesús Rivas,mx MEX,DF,UNAM,22.0,3.0,141.0,0.0,1.0,0.0,0.0,0.0
Ulises Rivas,mx MEX,"CC,DF",UNAM,28.0,15.0,653.0,1.0,0.0,0.0,2.0,0.0
Christian Rivera,co COL,CC,Tijuana,28.0,16.0,1175.0,2.5,0.0,0.0,0.0,0.0
Ignacio Rivero,uy URU,"CC,DF",Cruz Azul,32.0,16.0,975.0,2.5,2.0,0.0,4.0,0.0
Ángel Robles,mx MEX,"CC,DL",Puebla,23.0,5.0,84.0,0.0,0.0,0.0,0.0,0.0
Juan Robles,mx MEX,"CC,DF",Querétaro,21.0,10.0,489.0,1.0,0.0,0.0,1.0,0.0
Aldo Rocha,mx MEX,CC,Atlas,32.0,16.0,1268.0,1.0,0.0,0.0,2.0,0.0
Brian Rodríguez,uy URU,"DL,CC",América,24.0,11.0,791.0,2.5,2.5,0.0,0.0,0.0
Charly Rodríguez,mx MEX,CC,Cruz Azul,27.0,17.0,1310.0,0.0,2.5,0.0,2.0,0.0
David Rodriguez,us USA,CC,Atlético,22.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0
Jesús Rodríguez,mx MEX,PO,Puebla,31.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0
Jorge Rodríguez,mx MEX,"DF,CC",Puebla,23.0,4.0,193.0,0.0,0.0,0.0,2.0,0.0
Lucas Rodríguez,ar ARG,CC,Querétaro,27.0,16.0,1044.0,1.0,1.0,0.0,1.0,0.0
Michell Rodríguez,mx MEX,"DL,DF",UNAM,24.0,4.0,68.0,0.0,0.0,0.0,0.0,0.0
Salvador Rodríguez,mx MEX,"DF,DL",Mazatlán,23.0,4.0,132.0,0.0,0.0,0.0,1.0,0.0
Johan Rojas,co COL,"CC,DL",Monterrey,22.0,12.0,437.0,2.0,1.0,0.0,2.0,0.0
Luis Romo,mx MEX,"CC,DF",Cruz Azul,29.0,16.0,1082.0,0.0,2.5,0.0,2.0,0.0
Salomón Rondón,ve VEN,DL,Pachuca,35.0,13.0,919.0,2.5,2.0,0.0,1.0,0.0
Bryan Roque,mx MEX,"CC,DL",Necaxa,20.0,2.0,11.0,0.0,0.0,0.0,1.0,0.0
Kevin Rosero,co COL,"DL,CC",Necaxa,25.0,14.0,333.0,1.0,0.0,0.0,1.0,0.0
Franco Rossano,mx MEX,DF,América,19.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0
Carlos Rotondi,ar ARG,"DF,DL",Cruz Azul,27.0,17.0,1368.0,2.5,2.5,0.0,2.0,0.0
Fernando Rubén González,mx MEX,CC,Guadalajara,30.0,15.0,1264.0,0.0,0.0,0.0,4.0,0.0
Rubio Rubin,gt GUA,"DL,CC",Querétaro,28.0,10.0,423.0,2.5,0.0,0.0,0.0,0.0
Brian Rubio,mx MEX,DL,Mazatlán,28.0,16.0,865.0,2.5,0.0,0.0,3.0,0.0
Marcel Ruiz,mx MEX,CC,Toluca,24.0,16.0,1298.0,1.0,1.0,0.0,5.0,0.0
Franco Russo,ar ARG,DF,Querétaro,30.0,13.0,1169.0,1.0,0.0,0.0,1.0,0.0
Jorge Ruvalcaba,mx MEX,"CC,DF",UNAM,23.0,13.0,798.0,2.0,1.0,0.0,1.0,0.0
Patricio Salas,mx MEX,DL,América,20.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
Carlos Salcedo,mx MEX,DF,FC Juárez,31.0,12.0,1059.0,1.0,1.0,0.0,4.0,0.0
José Saldívar,mx MEX,CC,Pachuca,21.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Sebastien Salles-Lamonge,fr FRA,"CC,DL",Atlético,28.0,17.0,1262.0,2.5,1.0,0.0,0.0,0.0
Juan Sanabria,uy URU,"DF,CC",Atlético,24.0,16.0,1355.0,1.0,1.0,0.0,4.0,0.0
Andrés Sánchez,mx MEX,PO,Atlético,27.0,16.0,1440.0,0.0,0.0,0.0,3.0,0.0
Carlos Sánchez,mx MEX,DF,Pachuca,22.0,11.0,538.0,1.0,2.0,0.0,1.0,0.0
Diego Sánchez,mx MEX,DL,UANL,19.0,5.0,221.0,0.0,1.0,0.0,0.0,0.0
Erick Sánchez,mx MEX,"CC,DL",América,25.0,14.0,815.0,0.0,0.0,0.0,0.0,0.0
Jesús Sánchez García,mx MEX,DF,Guadalajara,35.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0
Luis Sánchez,mx MEX,DF,Mazatlán,24.0,16.0,1272.0,2.0,0.0,0.0,1.0,0.0
Richard Sánchez,py PAR,"CC,DF",América,28.0,10.0,616.0,0.0,1.0,0.0,0.0,0.0
Raúl Sandoval,mx MEX,"DF,DL",Necaxa,24.0,6.0,63.0,0.0,0.0,0.0,0.0,0.0
Anderson Santamaría,pe PER,DF,Santos,32.0,12.0,956.0,0.0,1.0,0.0,5.0,0.0
José Santiago Hernández,mx MEX,PO,Atlas,27.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0
Emilio Santillán,mx MEX,DF,Santos,21.0,1.0,74.0,0.0,0.0,0.0,0.0,0.0
Sebastian Santos,mx MEX,"DF,CC",León,21.0,8.0,633.0,0.0,0.0,0.0,0.0,0.0
Francisco Sebastián Córdova,mx MEX,"DL,CC",UANL,27.0,16.0,908.0,1.0,2.5,0.0,2.0,0.0
Ángel Sepúlveda,mx MEX,DL,Cruz Azul,33.0,17.0,840.0,2.5,0.0,0.0,2.0,0.0
Gilberto Sepúlveda,mx MEX,DF,Guadalajara,25.0,8.0,698.0,1.0,0.0,0.0,2.0,0.0
Leonardo Sepulveda,us USA,"DL,DF",Guadalajara,23.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0
Jesús Serrato,mx MEX,CC,Atlas,18.0,2.0,143.0,0.0,0.0,0.0,0.0,0.0
Jordan Sierra,ec ECU,CC,Mazatlán,27.0,16.0,971.0,0.0,1.0,0.0,0.0,0.0
Nathan Silva,br BRA,DF,UNAM,27.0,16.0,1440.0,0.0,0.0,0.0,4.0,0.0
Carlo Soldati,mx MEX,DF,Querétaro,19.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0
Ramiro Sordo,ar ARG,"DL,CC",Santos,24.0,14.0,1056.0,1.0,2.5,0.0,3.0,0.0
Samuel Sosa,ve VEN,DL,Querétaro,24.0,13.0,638.0,1.0,1.0,0.0,4.0,0.0
Leonardo Suárez,ar ARG,"CC,DL",UNAM,28.0,4.0,250.0,0.0,1.0,0.0,0.0,0.0
Fernando Tapia,mx MEX,PO,UANL,23.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0
Juan Tejeda,mx MEX,DF,Santos,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eduardo Tercero,mx MEX,DF,UANL,28.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0
Iván Tona,mx MEX,CC,Tijuana,24.0,13.0,949.0,0.0,1.0,0.0,3.0,0.0
Alan Torres,mx MEX,CC,Mazatlán,24.0,9.0,641.0,0.0,0.0,0.0,1.0,0.0
Jairo Torres,mx MEX,"DL,CC",FC Juárez,24.0,17.0,1407.0,2.0,2.0,0.0,3.0,0.0
Óliver Torres,es ESP,"CC,DL",Monterrey,30.0,13.0,874.0,0.0,1.0,0.0,1.0,0.0
Román Torres,mx MEX,"DF,DL",Necaxa,19.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
Santiago Trigos,mx MEX,CC,UNAM,22.0,9.0,160.0,0.0,0.0,0.0,0.0,0.0
Ezequiel Unsain,ar ARG,PO,Necaxa,29.0,17.0,1530.0,0.0,0.0,0.0,1.0,0.0
Héctor Uribe,mx MEX,DL,León,20.0,4.0,44.0,0.0,0.0,0.0,0.0,0.0
Diego Valdés,cl CHI,"CC,DL",América,30.0,11.0,576.0,0.0,2.0,0.0,0.0,0.0
Christian Valdivia,mx MEX,DF,Cruz Azul,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0
Diego Valoyes,co COL,"DL,CC",FC Juárez,28.0,9.0,578.0,1.0,1.0,0.0,1.0,0.0
Camilo Vargas,co COL,PO,Atlas,35.0,14.0,1260.0,0.0,0.0,0.0,1.0,0.0
William Vargas,ec ECU,DF,Mazatlán,27.0,4.0,163.0,0.0,0.0,0.0,0.0,0.0
Brandon Vazquez,us USA,"DL,CC",Monterrey,26.0,16.0,554.0,2.5,1.0,0.0,0.0,0.0
Brayton Vázquez,mx MEX,DF,Querétaro,26.0,4.0,293.0,0.0,0.0,0.0,0.0,0.0
Miguel Vázquez,mx MEX,DF,América,20.0,7.0,477.0,0.0,0.0,0.0,1.0,0.0
Alexis Vega,mx MEX,"CC,DL",Toluca,27.0,17.0,1166.0,2.5,2.5,0.0,2.0,0.0
Jesús Vega,mx MEX,"DL,CC",Tijuana,24.0,5.0,204.0,0.0,2.5,0.0,0.0,0.0
Sebastián Vegas,cl CHI,DF,Monterrey,27.0,10.0,629.0,0.0,1.0,0.0,2.0,0.0
Kevin Velasco,co COL,CC,Puebla,27.0,6.0,221.0,0.0,0.0,0.0,0.0,0.0
Jesús Venegas,mx MEX,"CC,DL",FC Juárez,29.0,10.0,374.0,1.0,1.0,0.0,1.0,0.0
Jonatan Villal,us USA,"CC,DL",Atlético,19.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
Fran Villalba,es ESP,"DL,CC",Santos,26.0,12.0,535.0,1.0,0.0,0.0,0.0,0.0
Dieter Villalpando,mx MEX,"CC,DL",FC Juárez,33.0,17.0,1121.0,0.0,0.0,0.0,3.0,0.0
Isaías Violante,mx MEX,"DL,CC",Toluca,21.0,13.0,793.0,2.5,2.5,0.0,3.0,0.0
Vitinho,br BRA,"DL,CC",Atlético,23.0,7.0,309.0,1.0,0.0,0.0,1.0,0.0
Tiago Volpi,br BRA,PO,Toluca,33.0,17.0,1530.0,0.0,0.0,0.0,1.0,0.0
Facundo Waller,uy URU,CC,Puebla,27.0,12.0,622.0,0.0,1.0,0.0,2.0,0.0
Teun Wilke,mx MEX,DL,Guadalajara,22.0,2.0,122.0,0.0,0.0,0.0,0.0,0.0
Édgar Yoel Bárcenas,pa PAN,"CC,DL",Mazatlán,31.0,16.0,1338.0,0.0,2.0,0.0,2.0,0.0
Ángel Zaldívar,mx MEX,DL,FC Juárez,30.0,11.0,495.0,2.5,0.0,0.0,1.0,0.0
Edgar Zaldívar,mx MEX,DF,Atlas,28.0,16.0,1003.0,1.0,0.0,0.0,1.0,0.0
Alejandro Zendejas,us USA,"DL,CC",América,26.0,12.0,843.0,2.0,2.0,0.0,2.0,0.0
José Zúñiga,co COL,"DL,CC",Tijuana,30.0,14.0,762.0,2.5,1.0,0.0,3.0,0.0
Uroš Đurđević,me MNE,"DL,CC",Atlas,30.0,8.0,198.0,0.0,0.0,0.0,2.0,0.0
